Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
10.172904,300000,14.69693846,Water,Pressure,0.044,4.928,0.000112,0.00866,0.0003,7,0.0001,0.001,0.6,1000
20.31155783,800000,26,Water,Pressure,0.0123941,4.822779798,0.000389119,0.05,0.045,7,0.002,0.001,0.6,1000
8.182796695,260000,11.85782442,Water,Pressure,0.030855383,4.771819453,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
9.041897881,300000,14.69693846,Water,Pressure,0.042,4.746,0.000113,0.00866,0.0003,7,0.0001,0.001,0.6,1000
8.385807499,160000,9.302042786,Water,Pressure,0.026634386,4.670966735,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.378587954,160000,9.302042786,Water,Pressure,0.026601074,4.66512459,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
8.285698434,160000,9.302042786,Water,Pressure,0.026173623,4.590161038,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
12.12925614,689000,18.04307346,FC-72,Pressure,0.002481714,4.56015,0.000028,0.005,0.0007,12,0.000049,0.00064,0.057,1680
8.337352926,300000,14.69693846,Water,Pressure,0.04,4.56,0.000114,0.00866,0.0003,7,0.0001,0.001,0.6,1000
7.913420228,260000,11.85782442,Water,Pressure,0.029390499,4.545273384,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
21.949,272000,15.16047493,Water,Pressure,0.036054422,4.506802721,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
15.48266667,136000,10.72007463,Water,Pressure,0.036054422,4.506802721,0.0005,0.005,0.0007,7,0.000049,0.001,0.6,1000
10.45875,200000,17.2,Water,Pressure,0.00196,4.41,0.00225,0.3,0.008,7,0.000625,0.001,0.6,1000
8.017798171,250000,13.41640786,Water,Pressure,0.038,4.37,0.000115,0.00866,0.0003,7,0.0001,0.001,0.6,1000
7.921330669,160000,9.302042786,Water,Pressure,0.024517944,4.299798662,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
22.27584453,253428.7027,13.05782643,Water,Pressure,0.005,4.27787,0.000855574,0.254,0.002851913,7,0.00005,0.001,0.6,1000
7.79500326,160000,9.302042786,Water,Pressure,0.023951845,4.200519871,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
7.515224699,250000,13.41640786,Water,Pressure,0.036,4.176,0.000116,0.00866,0.0003,7,0.0001,0.001,0.6,1000
19.60658,272000,15.16047493,Water,Pressure,0.036054422,4.146258503,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
13.07105333,136000,10.72007463,Water,Pressure,0.036054422,4.146258503,0.00046,0.007,0.0007,7,0.000049,0.001,0.6,1000
10.62983158,483000,15.1068693,FC-72,Pressure,0.002250857,4.13595,0.000028,0.005,0.0007,12,0.000049,0.00064,0.057,1680
13.1659,620528,19.3757436,Water,Pressure,0.00443,4.123853865,0.000837803,0.03,0.00076,7,0.001963,0.0009,0.6,1000
20.44041566,250633.5405,12.98561689,Water,Pressure,0.005,4.09748,0.000819496,0.254,0.002731653,7,0.00005,0.001,0.6,1000
13.9804245,584772,20.51915788,Water,Pressure,0.033120211,3.980633682,0.000120187,0.01451,0.00056,7,0.0002,0.001,0.6,1000
7.019563915,250000,13.41640786,Water,Pressure,0.034,3.978,0.000117,0.00866,0.0003,7,0.0001,0.001,0.6,1000
