Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
7.083947368,207000,9.889767439,FC-72,Pressure,0.1500571,2.7573,0.027,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
5.0625,200000,17.2,Water,Pressure,0.121,2.7225,2.25,0.4,8,7,0.000625,0.001,0.6,10
9.002933333,2000000,49.6,Water,Pressure,0.522,2.7144,0.52,0.2,8,7,0.000625,0.001,0.6,10
8.32608,1000000,36.1,Water,Pressure,0.305,2.5193,0.826,0.3,8,7,0.000625,0.001,0.6,10
8.09843,239061,12.02630055,Water,Pressure,0.275,2.484726064,0.813183,0.03,0.61,7,0.001963,0.0009,0.6,10
22.34063333,272000,15.16047493,Water,Pressure,1.8027211,2.478741497,0.55,0.0033,0.7,7,4.90E-05,0.001,0.6,10
14.02545833,136000,10.72007463,Water,Pressure,1.8027211,2.478741497,0.55,0.0033,0.7,7,4.90E-05,0.001,0.6,10
11.88472603,1921582.144,20.48524538,HFE-7100,Pressure,0.425342,2.468102921,0.06,0.005,0.15,6,0.000625,0.00038,0.073,14.7
11.0025696,550000,19.89974874,Water,Pressure,3.6,2.448,0.068,0.00866,0.3,7,0.0001,0.001,0.6,10
14.10128797,231067.4054,12.46844619,Water,Pressure,0.5,2.4467,0.48934,0.254,1.631133,7,5.00E-05,0.001,0.6,10
